,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
446,446,old,Spanish,S,false,radial_side,NA,Head,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Head
447,447,other,Spanish,L_enb,false,back_of_palm,Horizontal,NA,X_right,arc,false,true,false,true,UNDEF,right,UNDEF,E_b,false,Horizontal,UNDEF,UNDEF,UNDEF,false,false,true,y1,Horizontal
448,448,person,Spanish,L_nb,false,ulnar_side,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Horizontal
449,449,pig,Spanish,E,false,finger_fronts,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
450,450,play,Spanish,5,true,ulnar_side,Horizontal,NA,UNDEF,UNDEF,true,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
451,451,rain,Spanish,5_nb,true,tip,Horizontal,NA,Y_down,straight,true,false,false,false,UNDEF,right,5_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
452,452,red,Spanish,1,false,tip,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
453,453,river,Spanish,E,false,radial_side,NA,Head,Z_back,straight,false,false,false,true,UNDEF,right,UNDEF,E,true,Horizontal,UNDEF,Z_front,UNDEF,false,false,false,y4,Head
454,454,sea,Spanish,S,false,radial_side,NA,Hand,Z_front,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Hand
455,455,sharp,Spanish,H,false,finger_fronts,NA,Hand,Y_down,straight,false,false,false,false,UNDEF,left,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
